...1,web_name,gameweek,event_points,next_gw_points,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,correct_as_of_time
58,Burn,1,0,0,0,0,0,78916,0,0,0,0,0,2,0,0,Dan,0,58,FALSE,Knee injury - Unknown return date,2021-08-06T16:30:04Z,4.5,78916.jpg,0,Burn,0,FALSE,NA,i,4,36,50,50,713,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,121,316,119,256,94,334,122,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
59,Dunk,1,2,8,2,NA,NA,83299,0,0,0,0,0,2,2.7,2.7,Lewis,2,59,FALSE,NA,NA,5,83299.jpg,2,Dunk,6,FALSE,NA,a,4,36,9881,9881,30449,30449,0.4,0.4,90,0,0,0,1,0,0,0,0,0,0,0,14,19.6,0.7,0,2,96,33,215,66,396,155,181,58,NA,NA,4,NA,NA,NA,2021-08-20T17:10:45Z
60,March,1,2,1,2,NA,NA,109345,0,0,0,0,0,3,2.4,2.4,Solomon,2,60,FALSE,NA,NA,5.5,109345.jpg,2,March,0.1,FALSE,NA,a,4,36,574,574,926,926,0.4,0.4,90,0,0,0,1,0,0,0,0,0,0,0,12,18.6,45.3,11,7.5,103,40,8,4,93,53,38,22,2,NA,1,NA,NA,NA,2021-08-20T17:10:45Z
61,Webster,1,2,1,2,NA,NA,110735,0,0,0,0,0,2,2.2,2.2,Adam,2,61,FALSE,NA,NA,4.5,110735.jpg,2,Webster,0.6,FALSE,NA,a,4,36,3693,3693,3269,3269,0.4,0.4,90,0,0,0,1,0,0,0,0,0,0,0,11,23.6,2.8,0,2.6,72,22,155,44,267,102,150,46,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
62,Veltman,1,0,6,0,0,NA,111478,0,0,0,0,0,2,0,2.2,Joël,0,62,FALSE,Isolating in line with government and Premier League protocol - Expected back 26 Aug,2021-08-14T18:00:09Z,4.5,111478.jpg,0,Veltman,3.2,FALSE,NA,n,4,36,1489,1489,42306,42306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,129,327,127,269,104,344,129,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
63,Maupay,1,5,2,5,NA,NA,115382,0,0,0,0,0,4,2.6,2.6,Neal,5,63,FALSE,NA,NA,6.5,115382.jpg,5,Maupay,2.9,FALSE,NA,a,4,36,46413,46413,17618,17618,0.8,0.8,90,1,0,0,1,0,0,0,1,0,0,0,20,34,6.5,74,11.5,36,10,129,16,5,3,15,6,NA,NA,NA,NA,3,NA,2021-08-20T17:10:45Z
64,Trossard,1,2,11,2,NA,NA,116216,0,0,0,0,0,3,2.8,2.8,Leandro,2,64,FALSE,NA,NA,6.5,116216.jpg,2,Trossard,1.1,FALSE,NA,a,4,36,2706,2706,13204,13204,0.3,0.3,75,0,0,0,1,0,0,0,0,0,0,0,4,2.2,1.9,8,1.2,243,109,169,101,103,61,221,104,3,NA,3,NA,NA,NA,2021-08-20T17:10:45Z
65,Ryan,1,0,0,0,0,0,131897,0,0,0,0,0,1,0,0,Mathew,0,65,FALSE,Transferred to Real Sociedad,2021-07-12T23:00:04Z,4.5,131897.jpg,0,Ryan,0,FALSE,NA,u,4,36,0,0,207,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,46,334,30,276,29,350,46,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
66,Jahanbakhsh,1,0,0,0,0,0,165210,0,0,0,0,0,3,0,0,Alireza,0,66,FALSE,Transferred to Feyenoord,2021-07-20T17:00:05Z,5.5,165210.jpg,0,Jahanbakhsh,0,FALSE,NA,u,4,36,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,204,506,207,495,203,508,206,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
67,White,1,1,5,1,NA,NA,198869,0,0,0,0,0,2,1.7,2.7,Ben,1,67,FALSE,NA,NA,4.5,198869.jpg,1,White,21.6,FALSE,NA,a,1,3,21544,21544,203865,203865,0.2,0.2,90,0,0,0,2,0,0,0,0,0,0,0,12,10.8,0.5,0,1.1,159,64,222,72,307,123,224,78,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
68,Bernardo,1,0,0,0,0,0,209362,0,0,0,0,0,2,0,0,Bernardo,0,68,FALSE,Transferred to RB Salzburg,2021-07-08T07:33:34Z,4,209362.jpg,0,Fernandes Da Silva Junior,0,FALSE,NA,u,4,36,0,0,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,98,270,95,204,65,292,99,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
