...1,web_name,gameweek,event_points,next_gw_points,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,correct_as_of_time
99,Bardsley,1,0,0,0,NA,NA,17997,0,0,0,0,0,2,0,0.5,Phil,0,99,FALSE,NA,NA,4,17997.jpg,0,Bardsley,0.9,FALSE,NA,a,5,90,2779,2779,4539,4539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,92,255,89,188,58,277,93,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
100,Pieters,1,0,0,0,NA,NA,39487,0,0,0,0,0,2,0.7,1.2,Erik,0,100,FALSE,NA,NA,4.5,39487.jpg,0,Pieters,0.2,FALSE,NA,a,5,90,223,223,1820,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,116,299,113,234,84,320,117,5,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
101,Cork,1,2,0,2,NA,NA,40145,0,0,0,0,0,3,0,0.5,Jack,2,101,FALSE,NA,NA,4.5,40145.jpg,2,Cork,0.2,FALSE,NA,a,5,90,2325,2325,1147,1147,0.4,0.4,84,0,0,0,2,0,0,0,0,0,0,0,3,0.8,1.1,12,1.4,257,118,192,112,85,50,207,98,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
102,Stephens,1,0,0,0,0,0,40845,0,0,0,0,0,3,0,0,Dale,0,102,FALSE,Ankle injury - Unknown return date,2021-08-02T14:00:11Z,4.5,40845.jpg,0,Stephens,0,FALSE,NA,i,5,90,187,187,393,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,124,303,131,238,104,323,130,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
103,Long,1,0,0,0,0,0,41674,0,0,0,0,0,2,0,0,Kevin,0,103,FALSE,Achilles injury - Unknown return date,2021-08-02T14:00:12Z,4,41674.jpg,0,Long,0.2,FALSE,NA,i,5,90,388,388,2124,2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,93,259,90,192,59,281,94,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
104,Rodriguez,1,2,1,2,NA,NA,44683,0,0,0,0,0,4,0.6,1.1,Jay,2,104,FALSE,NA,NA,5.5,44683.jpg,2,Rodriguez,1,FALSE,NA,a,5,90,11112,11112,8789,8789,0.4,0.4,69,0,0,1,0,0,0,0,0,0,0,0,10,6.6,2.5,17,2.6,192,15,158,18,74,17,153,19,NA,NA,NA,NA,3,NA,2021-08-20T17:10:45Z
105,Barnes,1,1,2,1,NA,NA,44699,0,0,0,0,0,4,0.6,1.1,Ashley,1,105,FALSE,NA,NA,5.5,44699.jpg,1,Barnes,1.9,FALSE,NA,a,5,90,12283,12283,20176,20176,0.2,0.2,20,0,0,0,2,0,0,0,0,0,0,0,3,2.2,10.1,0,1.2,239,26,121,15,464,47,219,25,NA,NA,NA,NA,2,NA,2021-08-20T17:10:45Z
106,Mee,1,1,7,1,NA,NA,51927,0,0,0,0,0,2,1.2,1.7,Ben,1,106,FALSE,NA,NA,5,51927.jpg,1,Mee,0.8,FALSE,NA,a,5,90,1481,1481,6857,6857,0.2,0.2,90,0,0,0,2,0,0,0,0,0,0,0,8,9.6,0.8,7,1.7,168,69,207,62,108,22,198,66,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
107,Westwood,1,7,2,7,NA,NA,60551,0,0,0,0,0,3,0.9,1.4,Ashley,7,107,FALSE,NA,NA,5.5,60551.jpg,7,Westwood,0.7,FALSE,NA,a,5,90,3856,3856,4749,4749,1.3,1.3,90,0,1,0,2,0,0,0,0,0,0,2,27,27.8,32.4,0,6,56,24,23,15,471,191,57,33,1,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
108,Gudmundsson,1,1,5,1,NA,NA,60586,0,0,0,0,0,3,0.9,1.4,Johann Berg,1,108,FALSE,NA,NA,5.5,60586.jpg,1,Gudmundsson,0.1,FALSE,NA,a,5,90,192,192,735,735,0.2,0.2,90,0,0,0,2,0,0,0,1,0,0,0,5,7.2,2.6,2,1.2,188,78,157,95,166,89,220,103,3,NA,3,NA,NA,NA,2021-08-20T17:10:45Z
109,Wood,1,2,2,2,NA,NA,60689,0,0,0,0,0,4,1.2,1.7,Chris,2,109,FALSE,NA,NA,7,60689.jpg,2,Wood,2.6,FALSE,NA,a,5,90,5082,5082,40374,40374,0.3,0.3,90,0,0,0,2,0,0,0,0,0,0,0,3,3.8,12,25,4.1,218,19,102,12,48,12,102,16,NA,NA,NA,NA,1,NA,2021-08-20T17:10:45Z
110,Lowton,1,1,1,1,NA,NA,68983,0,0,0,0,0,2,0.7,1.2,Matthew,1,110,FALSE,NA,NA,4.5,68983.jpg,1,Lowton,2.3,FALSE,NA,a,5,90,2120,2120,15612,15612,0.2,0.2,90,0,0,0,2,0,0,0,0,0,0,0,10,12.8,15.9,0,2.9,142,59,73,19,255,93,140,43,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
111,Vydra,1,1,1,1,NA,NA,81183,0,0,0,0,0,4,0.6,1.1,Matej,1,111,FALSE,NA,NA,5.5,81183.jpg,1,Vydra,0.9,FALSE,NA,a,5,90,1740,1740,9457,9457,0.2,0.2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3,12,1,487,51,243,33,88,20,229,26,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
112,Pope,1,2,2,2,NA,NA,98747,0,0,0,0,0,1,2.3,2.8,Nick,2,112,FALSE,NA,NA,5.5,98747.jpg,2,Pope,3.8,FALSE,NA,a,5,90,2944,2944,24611,24611,0.4,0.4,90,0,0,0,2,0,0,0,0,0,4,0,17,30,0,0,3,47,4,496,54,482,54,138,5,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
113,Taylor,1,1,1,1,NA,NA,103914,0,0,0,0,0,2,0.7,1.2,Charlie,1,113,FALSE,NA,NA,4.5,103914.jpg,1,Taylor,0.6,FALSE,NA,a,5,90,985,985,3344,3344,0.2,0.2,90,0,0,0,2,0,0,0,0,0,0,0,13,14.4,15.6,2,3.2,129,51,75,20,151,41,130,40,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
114,Norris,1,0,0,0,NA,NA,168399,0,0,0,0,0,1,0.8,1.3,Will,0,114,FALSE,NA,NA,4.5,168399.jpg,0,Norris,0.1,FALSE,NA,a,5,90,189,189,817,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,49,346,36,289,35,359,49,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
115,Brownhill,1,1,1,1,NA,NA,172782,0,0,0,0,0,3,0,0.5,Josh,1,115,FALSE,NA,NA,4.5,172782.jpg,1,Brownhill,3.9,FALSE,NA,a,5,90,4894,4894,11396,11396,0.2,0.2,11,0,0,0,0,0,0,0,0,0,0,0,8,7.2,10.5,0,1.8,186,76,118,71,291,114,187,92,NA,NA,1,NA,NA,NA,2021-08-20T17:10:45Z
116,Benson,1,0,0,0,0,0,217401,0,0,0,0,0,3,0,0,Josh,0,116,FALSE,Transferred to Barnsley,2021-07-31T16:20:53Z,4.5,217401.jpg,0,Benson,0,FALSE,NA,u,5,90,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,142,372,149,323,127,385,148,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
117,Peacock-Farrell,1,0,0,0,0,0,220037,0,0,0,0,0,1,0,0,Bailey,0,117,FALSE,Joined Sheffield Wednesday on a season-long loan,2021-07-27T22:30:10Z,4.5,220037.jpg,0,Peacock-Farrell,0,FALSE,NA,u,5,90,0,0,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,51,375,38,326,38,388,51,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
118,McNeil,1,2,2,2,NA,NA,433154,0,0,0,0,0,3,1.1,1.6,Dwight,2,118,FALSE,NA,NA,6,433154.jpg,2,McNeil,0.3,FALSE,NA,a,5,90,605,605,3797,3797,0.3,0.3,78,0,0,0,2,0,0,0,0,0,0,0,10,21.6,30.6,0,5.2,80,30,26,18,531,222,70,42,2,NA,4,NA,NA,NA,2021-08-20T17:10:45Z
119,Azpilicueta,1,6,4,6,NA,NA,41328,0,0,0,0,0,2,2.9,3.4,César,6,119,FALSE,NA,NA,6,41328.jpg,6,Azpilicueta,4.2,FALSE,NA,a,6,8,18382,18382,20615,20615,1,1,66,0,0,1,0,0,0,0,0,0,0,0,25,10.4,8.6,6,2.5,163,66,123,36,120,28,160,50,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
120,Giroud,1,0,0,0,0,0,44346,0,0,0,0,0,4,0,0,Olivier,0,120,FALSE,Transferred to AC Milan,2021-07-18T11:00:04Z,6.5,44346.jpg,0,Giroud,0,FALSE,NA,u,6,8,0,0,505,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,65,541,67,535,64,541,67,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
121,Thiago Silva,1,0,6,0,NA,NA,51090,0,0,0,0,0,2,2.6,3.1,Thiago,0,121,FALSE,NA,NA,5.5,51090.jpg,0,Emiliano da Silva,2.9,FALSE,NA,a,6,8,4573,4573,41294,41294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,182,484,182,466,179,488,182,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
122,Alonso,1,15,5,15,NA,NA,82263,0.1,-1,0.1,-1,1,2,2.6,3.1,Marcos,15,122,TRUE,NA,NA,5.6,82263.jpg,15,Alonso,6.4,FALSE,NA,a,6,8,211779,211779,19637,19637,2.7,2.7,85,1,0,1,0,0,0,0,0,0,0,3,46,56,35.5,29,12.1,7,1,17,5,39,8,11,2,6,NA,2,NA,NA,NA,2021-08-20T17:10:45Z
123,Jorginho,1,3,1,3,NA,NA,85955,0,0,0,0,0,3,2.1,2.6,Jorge Luiz,3,123,FALSE,NA,NA,6,85955.jpg,3,Frello Filho,5.2,FALSE,NA,a,6,8,33489,33489,43653,43653,0.5,0.5,90,0,0,1,0,0,0,0,0,0,0,0,14,19.6,21.4,2,4.3,99,38,53,36,174,94,98,56,NA,NA,NA,NA,1,NA,2021-08-20T17:10:45Z
124,Barkley,1,0,0,0,NA,NA,88894,0,0,0,0,0,3,1.9,2.4,Ross,0,124,FALSE,NA,NA,5.5,88894.jpg,0,Barkley,0.1,FALSE,NA,a,6,8,509,509,2083,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,196,491,200,477,195,495,199,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
125,Kovacic,1,6,13,6,NA,NA,91651,0,0,0,0,0,3,1.4,1.9,Mateo,6,125,FALSE,NA,NA,5,91651.jpg,6,Kovacic,0.8,FALSE,NA,a,6,8,27158,27158,7471,7471,1.2,1.2,90,0,1,1,0,0,0,0,0,0,0,0,24,24.6,28.5,4,5.7,67,27,35,24,130,73,62,36,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
126,Batshuayi,1,0,0,0,0,NA,94245,0,0,0,0,0,4,0,2.1,Michy,0,126,FALSE,Joined Besiktas on a season-long loan - Expected back 01 Jul,2021-08-18T17:00:13Z,5.5,94245.jpg,0,Batshuayi,0.2,FALSE,NA,u,6,8,1384,1384,4628,4628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,52,493,56,479,50,497,56,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
127,Rüdiger,1,6,6,6,NA,NA,102380,0,0,0,0,0,2,2.6,3.1,Antonio,6,127,FALSE,NA,NA,5.5,102380.jpg,6,Rüdiger,7.6,FALSE,NA,a,6,8,45139,45139,32244,32244,1.1,1.1,90,0,0,1,0,0,0,0,0,0,0,0,22,14.6,3.4,0,1.8,128,50,147,42,485,183,191,62,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
128,Zouma,1,0,0,0,NA,NA,103192,0,0,0,0,0,2,2.6,3.1,Kurt,0,128,FALSE,NA,NA,5.5,103192.jpg,0,Zouma,1.2,FALSE,NA,a,6,8,1142,1142,19229,19229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,186,499,186,486,184,501,186,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
129,Arrizabalaga,1,0,0,0,NA,NA,109745,0,0,0,0,0,1,2.6,3.1,Kepa,0,129,FALSE,NA,NA,5,109745.jpg,0,Arrizabalaga,0.3,FALSE,NA,a,6,8,910,910,3736,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,58,441,49,408,49,449,58,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
130,Kanté,1,0,0,0,75,75,116594,0,0,0,0,0,3,1.1,1.5,N'Golo,0,130,FALSE,Ankle injury - 75% chance of playing,2021-08-13T13:30:14Z,5,116594.jpg,0,Kanté,3.7,FALSE,NA,d,6,8,9946,9946,83223,83223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,172,443,177,410,163,450,176,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
131,Ziyech,1,0,3,0,75,0,124183,-0.1,1,-0.1,1,0,3,1.9,0,Hakim,0,131,FALSE,Shoulder injury - 75% chance of playing,2021-08-12T06:30:05Z,7.4,124183.jpg,0,Ziyech,0.3,FALSE,NA,d,6,8,565,565,17070,17070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,232,549,233,546,232,549,233,4,NA,6,NA,NA,NA,2021-08-20T17:10:45Z
132,Loftus-Cheek,1,0,0,0,25,NA,126187,0,0,0,0,0,3,0.5,2.4,Ruben,0,132,FALSE,Illness - 25% chance of playing,2021-08-17T07:00:07Z,5.5,126187.jpg,0,Loftus-Cheek,0.1,FALSE,NA,d,6,8,108,108,1473,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,200,501,203,490,199,503,202,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
133,Christensen,1,7,0,7,NA,NA,135363,0,0,0,0,0,2,2.2,2.7,Andreas,7,133,FALSE,NA,NA,5,135363.jpg,7,Christensen,1.3,FALSE,NA,a,6,8,22296,22296,7174,7174,1.4,1.4,90,0,0,1,0,0,0,0,0,0,0,1,27,18.6,1.3,0,2,102,36,185,54,414,159,183,59,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
134,Werner,1,2,1,2,NA,NA,165153,-0.1,1,-0.1,1,0,4,2.9,3.4,Timo,2,134,FALSE,NA,NA,8.9,165153.jpg,2,Werner,4.1,FALSE,NA,a,6,8,14877,14877,87296,87296,0.2,0.2,90,0,0,1,0,0,0,0,0,0,0,0,6,1.2,12.8,26,4,251,29,94,11,46,11,106,17,NA,NA,NA,NA,3,NA,2021-08-20T17:10:45Z
135,Chilwell,1,0,0,0,NA,NA,172850,0,0,0,0,0,2,2.9,3.4,Benjamin,0,135,FALSE,NA,NA,6,172850.jpg,0,Chilwell,10.5,FALSE,NA,a,6,8,8724,8724,177507,177507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,189,532,189,524,189,533,189,3,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
136,Abraham,1,0,0,0,0,NA,173879,0,0,0,0,0,4,0,2.6,Tammy,0,136,FALSE,Joined AS Roma on 17 August,2021-08-17T11:30:11Z,6.5,173879.jpg,0,Abraham,0.5,FALSE,NA,u,6,8,2438,2438,19180,19180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,67,542,68,539,66,542,68,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
137,Pulisic,1,8,0,8,0,NA,176413,0,0,0,0,0,3,0,3.2,Christian,8,137,FALSE,Illness - Expected back 28 Aug,2021-08-20T14:00:06Z,8,176413.jpg,8,Pulisic,2,FALSE,NA,i,6,8,30503,30503,19144,19144,1,1,81,1,0,1,0,0,0,0,0,0,0,0,21,36.8,3.4,42,8.2,31,17,148,88,22,12,33,18,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
138,Mount,1,6,0,6,NA,NA,184341,0,0,0,0,0,3,2.5,3,Mason,6,138,FALSE,NA,NA,7.5,184341.jpg,6,Mount,20,FALSE,NA,a,6,8,62411,62411,135165,135165,0.8,0.8,90,0,1,1,0,0,0,0,0,0,0,0,19,14.2,18.5,29,6.2,131,51,62,44,40,23,56,32,1,NA,1,NA,2,NA,2021-08-20T17:10:45Z
139,Ampadu,1,0,0,0,NA,NA,199598,0,0,0,0,0,2,1.7,2.2,Ethan,0,139,FALSE,NA,NA,4.5,199598.jpg,0,Ampadu,0.1,FALSE,NA,a,6,8,493,493,1207,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,144,359,143,308,124,372,144,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
140,Hudson-Odoi,1,0,3,0,NA,NA,209046,0,0,0,0,0,3,1.9,2.4,Callum,0,140,FALSE,NA,NA,5.5,209046.jpg,0,Hudson-Odoi,0.2,FALSE,NA,a,6,8,974,974,3609,3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,210,514,212,504,208,517,212,5,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
141,Havertz,1,1,3,1,NA,NA,219847,-0.1,1,-0.1,1,0,3,2.8,3.3,Kai,1,141,FALSE,NA,NA,8.4,219847.jpg,1,Havertz,9.2,FALSE,NA,a,6,8,14865,14865,216680,216680,0.1,0.1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,2,0.2,553,234,213,120,179,98,268,126,NA,NA,3,NA,NA,NA,2021-08-20T17:10:45Z
142,James,1,1,0,1,NA,NA,225796,0,0,0,0,0,2,2.6,3.1,Reece,1,142,FALSE,NA,NA,5.5,225796.jpg,1,James,6,FALSE,NA,a,6,8,7446,7446,64732,64732,0.2,0.2,23,0,0,0,0,0,0,0,0,0,0,0,4,2.2,2.1,2,0.6,240,88,165,46,171,53,248,84,2,NA,4,NA,NA,NA,2021-08-20T17:10:45Z
143,Mendy,1,6,9,6,NA,NA,228286,0,0,0,0,0,1,4,4.5,Edouard,6,143,FALSE,NA,NA,6,228286.jpg,6,Mendy,10.1,FALSE,NA,a,6,8,27067,27067,33396,33396,1,1,90,0,0,1,0,0,0,0,0,0,1,0,20,11.2,0,0,1.1,157,18,535,58,528,58,226,18,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
144,Gallagher,1,0,8,0,100,0,232787,0,0,0,0,0,3,2.4,0,Conor,0,144,FALSE,NA,2021-08-04T10:30:07Z,5.5,232787.jpg,0,Gallagher,0,FALSE,NA,a,7,31,499,499,291,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,212,518,214,510,210,521,214,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
145,Gilmour,1,2,0,2,NA,NA,243568,0,0,0,0,0,3,-0.5,0,Billy,2,145,FALSE,NA,NA,4.5,243568.jpg,2,Gilmour,8.8,FALSE,NA,a,15,45,43633,43633,32831,32831,0.4,0.4,90,0,0,0,3,0,0,0,0,0,0,0,14,11.6,2.1,0,1.4,151,59,164,98,351,136,208,99,1,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
146,Guaita,1,2,6,2,NA,NA,40836,0,0,0,0,0,1,2.3,1.3,Vicente,2,146,FALSE,NA,NA,4.5,40836.jpg,2,Guaita,5.2,FALSE,NA,a,7,31,14034,14034,16352,16352,0.4,0.4,90,0,0,0,3,0,0,0,0,0,3,0,20,24,0,0,2.4,68,10,302,24,237,23,161,11,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
147,Tomkins,1,0,0,0,NA,NA,49413,0,0,0,0,0,2,2.2,1.2,James,0,147,FALSE,NA,NA,4.5,49413.jpg,0,Tomkins,0.1,FALSE,NA,a,7,31,356,356,1105,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,117,306,114,242,86,326,118,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
148,McArthur,1,2,3,2,NA,NA,50471,0,0,0,0,0,3,1.5,0.5,James,2,148,FALSE,NA,NA,4.5,50471.jpg,2,McArthur,0.4,FALSE,NA,a,7,31,6368,6368,2509,2509,0.4,0.4,90,0,0,0,3,0,0,0,0,0,0,0,22,24.8,26,4,5.5,65,26,36,25,125,72,67,40,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
149,Benteke,1,1,2,1,NA,NA,54861,0,0,0,0,0,4,2.6,1.6,Christian,1,149,FALSE,NA,NA,6.5,54861.jpg,1,Benteke,1.3,FALSE,NA,a,7,31,6530,6530,14843,14843,0.2,0.2,33,0,0,0,1,0,0,0,0,0,0,0,1,0,0.3,4,0.1,539,66,245,35,144,26,275,35,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
150,Kouyaté,1,1,6,1,NA,NA,55037,0,0,0,0,0,2,2.2,1.2,Cheikhou,1,150,FALSE,NA,NA,4.5,55037.jpg,1,Kouyaté,0.5,FALSE,NA,a,7,31,3243,3243,2993,2993,0.2,0.2,90,0,0,0,3,0,0,0,0,0,0,0,16,16.4,0.6,0,1.7,112,42,216,67,244,88,194,63,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
151,Kelly,1,0,0,0,NA,NA,58786,0,0,0,0,0,2,1.5,0.5,Martin,0,151,FALSE,NA,NA,4,58786.jpg,0,Kelly,1.2,FALSE,NA,a,7,31,3375,3375,6381,6381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,95,262,92,195,61,284,96,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
152,Milivojevic,1,0,1,0,0,0,66975,0,0,0,0,0,3,0,0,Luka,0,152,FALSE,Personal Reasons - Unknown return date,2021-08-13T13:00:14Z,5.5,66975.jpg,0,Milivojevic,0.1,FALSE,NA,i,7,31,32,32,3112,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,195,488,199,473,193,492,198,2,NA,1,NA,1,NA,2021-08-20T17:10:45Z
153,Ayew,1,2,2,2,NA,NA,80146,0,0,0,0,0,4,2.3,1.3,Jordan,2,153,FALSE,NA,NA,6,80146.jpg,2,Ayew,0.9,FALSE,NA,a,7,31,11819,11819,8631,8631,0.3,0.3,90,0,0,0,3,0,0,0,0,0,0,0,0,14.8,11.9,19,4.6,127,14,104,13,67,15,87,15,NA,NA,NA,NA,4,NA,2021-08-20T17:10:45Z
154,Zaha,1,2,12,2,NA,NA,82403,0,0,0,0,0,3,2.9,1.9,Wilfried,2,154,FALSE,NA,NA,7,82403.jpg,2,Zaha,6.6,FALSE,NA,a,7,31,35204,35204,58476,58476,0.3,0.3,90,0,0,0,3,0,0,0,0,0,0,0,1,1,3,22,2.6,255,116,152,92,56,33,155,79,NA,NA,NA,NA,3,NA,2021-08-20T17:10:45Z
155,Schlupp,1,1,0,1,NA,NA,86417,0,0,0,0,0,3,2.4,1.4,Jeffrey,1,155,FALSE,NA,NA,5.5,86417.jpg,1,Schlupp,0.1,FALSE,NA,a,7,31,360,360,704,704,0.2,0.2,56,0,0,0,2,0,0,0,0,0,0,0,3,1,1.4,4,0.6,254,115,179,109,136,77,246,115,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
156,Butland,1,0,0,0,NA,NA,105666,0,0,0,0,0,1,2.3,1.3,Jack,0,156,FALSE,NA,NA,4.5,105666.jpg,0,Butland,0.5,FALSE,NA,a,7,31,835,835,2241,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,45,322,29,263,28,339,45,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
157,Riedewald,1,2,0,2,NA,NA,173954,0,0,0,0,0,3,1.9,0.9,Jairo,2,157,FALSE,NA,NA,5,173954.jpg,2,Riedewald,0,FALSE,NA,a,7,31,344,344,414,414,0.4,0.4,76,0,0,0,3,0,0,0,0,0,0,0,8,2.8,5.4,0,0.8,230,102,134,78,429,172,236,109,3,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
158,Jach,1,0,0,0,NA,NA,185478,0,0,0,0,0,2,2.2,1.2,Jaroslaw,0,158,FALSE,NA,NA,4.5,185478.jpg,0,Jach,0.1,FALSE,NA,a,7,31,49,49,440,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,140,353,139,299,117,366,140,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
159,Mateta,1,1,0,1,NA,NA,231747,0,0,0,0,0,4,2.1,1.1,Jean-Philippe,1,159,FALSE,NA,NA,5.5,231747.jpg,1,Mateta,0.2,FALSE,NA,a,7,31,2797,2797,1808,1808,0.2,0.2,56,0,0,0,2,0,0,0,0,0,0,0,5,6.4,1.3,0,0.8,196,16,189,22,509,57,237,28,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
160,Eze,1,0,0,0,0,0,232413,0,0,0,0,0,3,0,0,Eberechi,0,160,FALSE,Achilles injury - Unknown return date,2021-06-22T11:30:10Z,6,232413.jpg,0,Eze,0,FALSE,NA,i,7,31,185,185,912,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,224,537,225,530,221,537,225,1,NA,3,NA,NA,NA,2021-08-20T17:10:45Z
161,Ferguson,1,0,0,0,0,0,232423,0,0,0,0,0,2,0,0,Nathan,0,161,FALSE,Achilles injury - Expected back 27 Nov,2021-06-22T11:30:10Z,4.5,232423.jpg,0,Ferguson,0,FALSE,NA,i,7,31,79,79,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,155,388,155,342,137,400,155,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
162,Mitchell,1,1,6,1,NA,NA,244723,0,0,0,0,0,2,2.2,1.2,Tyrick,1,162,FALSE,NA,NA,4.5,244723.jpg,1,Mitchell,0.7,FALSE,NA,a,7,31,3902,3902,3161,3161,0.2,0.2,90,0,0,0,3,0,0,0,0,0,0,0,5,4,1.9,0,0.6,214,82,168,47,354,143,244,83,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
163,Delph,1,0,0,0,NA,NA,41823,0,0,0,0,0,3,1,1,Fabian,0,163,FALSE,NA,NA,4.5,41823.jpg,0,Delph,0.2,FALSE,NA,a,8,11,1017,1017,1563,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,125,304,132,240,105,324,131,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
